#{"t_start": 1780823610.8346288, "env_id": "None"}
r,l,t
-1.481813,16,2.460328
-1.675984,27,2.487459
-2.857738,22,2.510527
-4.624269,22,2.531136
3.145044,30,2.559323
2.766791,21,2.578708
-6.606795,26,2.602171
-3.487791,30,2.630098
-0.210659,16,2.645088
-5.7186,27,2.672069
-4.131254,18,2.689607
-2.737991,19,2.707064
-5.734368,18,2.7247
0.401538,30,2.752451
-2.121409,30,2.78178
-4.027535,12,2.793114
-6.271109,30,2.822213
-8.535867,29,2.848455
-1.21713,30,2.874572
-0.855916,15,2.88819
-2.676234,25,2.910481
1.554334,30,2.938043
2.606681,14,2.951674
-6.145051,30,2.988649
1.972945,16,3.017306
-0.695592,22,3.053795
1.085932,29,3.084851
-4.512382,29,3.113962
-2.404189,28,3.149143
-4.211065,23,3.178442
1.935853,19,3.199941
-3.746941,19,3.220504
1.561193,19,3.241356
-2.532757,13,3.25473
-0.767435,19,3.27222
-0.399188,20,3.29118
1.054614,30,3.320539
-0.193171,17,3.336469
-4.675497,30,3.36301
1.064482,25,3.386412
-1.02176,16,3.40245
-0.958831,30,3.429889
0.089774,15,3.443362
1.888596,18,3.459764
1.770788,19,3.47876
2.693661,30,3.505371
3.755249,18,3.520947
2.078009,30,3.546544
-2.48135,22,3.567141
-0.509582,30,3.593682
-4.759269,21,3.612978
-3.101085,30,3.638812
-1.474747,30,3.666167
0.432363,30,3.692212
0.114467,21,3.710872
1.195158,27,3.733606
0.020975,30,3.759813
-10.721302,30,3.785809
-0.908563,22,3.806238
-2.269497,30,3.830909
-5.667763,30,3.859376
-0.580831,27,3.883025
1.685186,12,3.894499
0.031966,30,3.921351
-1.994733,21,3.941515
1.485603,21,3.959869
-4.747105,24,3.983064
-0.17282,16,3.998818
2.510658,15,4.018938
0.124074,30,4.05602
2.09684,30,4.092937
1.561525,22,4.122749
0.13008,19,4.148331
2.824149,27,4.186133
0.429921,12,4.201489
-0.582468,11,4.215225
2.024035,30,4.246538
-1.255579,22,4.269467
-2.879872,16,4.284488
-10.281411,26,4.311315
-2.930122,30,4.341493
-3.910135,16,4.356965
0.846408,28,4.381732
-3.412198,17,4.396797
0.949967,21,4.415763
-1.710189,17,4.430368
-3.10924,26,4.454568
-3.046487,21,4.473594
-0.262312,26,4.498195
0.233939,28,4.523611
-4.966596,28,4.549191
-4.553708,18,4.563846
-10.635935,25,4.584277
-0.641476,22,4.600885
0.295145,21,4.618574
-0.201003,29,4.643308
-2.101757,30,4.671762
-4.733338,30,4.699871
0.075991,28,4.723845
-3.650477,24,4.745017
-0.582827,22,4.764619
-4.084459,19,4.78174
-3.288345,28,4.806602
0.96852,15,4.820515
-3.053437,19,4.83803
0.858142,10,4.847797
-0.152435,30,4.873334
-0.903512,16,4.887301
-0.582723,21,4.906486
1.067071,30,4.931343
-5.745098,28,4.95512
0.469514,30,4.978439
0.704571,30,4.999824
1.98891,30,5.026193
1.336841,30,5.051008
3.324109,30,5.076154
-1.909871,14,5.087474
-6.663041,29,5.110341
-1.402628,30,5.13206
-3.761428,26,5.152562
2.384707,25,5.173443
1.238289,30,5.198362
-3.889292,26,5.21845
-4.543565,17,5.231948
1.508503,30,5.258286
1.858386,30,5.284026
-3.1524,24,5.304292
1.755635,14,5.316656
1.628231,13,5.329479
0.639179,25,5.3525
2.176127,30,5.381241
-6.103707,21,5.39948
-11.868365,30,5.425995
0.706169,15,5.439098
1.780882,30,5.464467
1.25484,30,5.490626
-2.267122,30,5.515566
2.606995,30,5.541476
1.265405,21,5.560055
-1.244773,30,5.583067
-3.001205,30,5.609468
1.066446,17,5.624664
-2.873892,23,5.644467
1.01899,30,5.669532
2.840553,26,5.693857
-1.129721,24,5.714833
-6.542415,18,5.730449
-4.444993,26,5.749809
-2.237424,20,5.765228
-3.214825,18,5.780786
-1.69692,25,5.799407
-4.461711,30,5.82379
-2.512932,22,5.840865
-5.574556,27,5.865527
-3.424764,26,5.888287
-0.1404,29,5.91284
-3.759605,23,5.932058
2.284587,30,5.954857
-1.729409,24,5.973943
2.167316,24,5.995543
-11.33253,30,6.023292
-2.291928,30,6.049562
0.649599,26,6.071526
-2.122272,25,6.090973
-2.935687,29,6.114383
-1.352243,26,6.135468
1.078056,30,6.158262
-2.3858,30,6.181894
-1.951057,30,6.205011
2.187209,23,6.226134
0.752459,30,6.252546
1.229798,20,6.270487
-1.871686,28,6.296595
-2.287272,30,6.323359
2.263729,28,6.348589
0.183603,23,6.367697
-0.343436,23,6.385708
-8.012175,30,6.408529
-0.1423,16,6.421016
0.373128,23,6.438586
-0.709871,14,6.450516
-0.52699,16,6.464436
1.556476,30,6.490104
-1.82001,17,6.505503
-5.779379,18,6.521963
-0.718306,30,6.549488
2.021278,23,6.568511
-3.245583,30,6.593586
-0.015535,21,6.611726
-1.786552,29,6.636644
-1.532277,17,6.651356
-0.065021,30,6.676857
-4.142206,29,6.704308
-2.477873,30,6.730911
-0.486555,10,6.740242
1.025913,30,6.763426
-6.402496,30,6.789183
-9.638807,30,6.81635
-1.189569,13,6.828509
-6.329715,19,6.84503
0.718627,14,6.856892
0.922113,30,6.880657
-0.378876,10,6.889211
3.574602,23,6.90713
-6.363406,15,6.919437
0.282944,30,6.943203
-0.880528,30,6.965443
2.672936,30,6.998355
0.885958,14,7.011861
-1.356781,24,7.034248
2.649667,16,7.049152
0.417919,23,7.070479
-11.741866,30,7.097474
4.017285,29,7.122862
0.357121,24,7.143852
-3.888371,15,7.158188
-1.224728,30,7.192731
-4.332223,25,7.222489
0.8759,23,7.251605
-1.983754,30,7.290296
0.481849,30,7.330559
-5.894265,27,7.369987
-2.976071,22,7.399159
1.158791,17,7.421781
1.924774,30,7.46061
-1.324096,30,7.495285
-2.253175,14,7.513009
-0.380775,17,7.533383
1.193482,24,7.562323
1.936013,30,7.608121
-2.088398,13,7.623792
-3.804739,19,7.644896
2.049492,30,7.677445
-1.384776,30,7.711086
-3.215679,30,7.743635
-0.579911,30,7.771819
-1.972137,27,7.796917
-0.876298,18,7.813828
-0.296977,30,7.842313
0.519869,21,7.862054
2.924046,23,7.883277
-0.856842,30,7.911784
0.073648,13,7.923629
1.804264,26,7.946781
-3.673706,23,7.969373
0.119616,23,7.990416
-1.931043,20,8.009056
1.844845,18,8.025596
2.584004,17,8.041395
0.857326,30,8.066475
-0.178315,11,8.076473
-4.608044,22,8.097501
-2.332356,30,8.12392
1.361864,21,8.143804
1.243561,20,8.167625
1.265635,26,8.20085
-2.38769,25,8.235928
2.039221,26,8.268407
-3.471976,30,8.307056
1.608718,15,8.329627
-3.613448,30,8.374068
0.534484,30,8.41618
-2.291507,28,8.455483
-3.5612,21,8.494359
0.548617,11,8.508827
-1.792484,22,8.536532
1.608689,27,8.567567
-3.086347,22,8.590583
-1.932711,30,8.620923
0.503084,15,8.634915
-3.427568,30,8.661682
-3.613945,30,8.687762
-2.373605,19,8.706044
-1.525719,21,8.725642
1.467077,30,8.754581
1.382154,23,8.776145
0.475731,25,8.80002
-1.02242,30,8.827392
-1.934163,28,8.854428
-0.532767,25,8.876918
-0.910023,25,8.900208
-0.554831,13,8.912199
-3.238181,22,8.93103
1.039467,16,8.944088
1.886418,13,8.954916
-0.030435,13,8.967009
0.265474,24,8.988929
-1.41153,15,9.002604
2.777926,26,9.027013
-0.005034,16,9.041675
0.947922,18,9.058847
2.033321,17,9.074156
0.584354,19,9.091405
-1.963744,22,9.110928
-2.598453,21,9.130067
1.179048,24,9.152045
-7.095761,20,9.171381
-0.184047,30,9.197464
0.925117,30,9.224894
0.404131,30,9.250727
-1.868863,19,9.268766
2.291607,14,9.281775
-1.315783,30,9.306948
-2.063009,20,9.325031
-1.189071,19,9.343654
-7.997047,30,9.371828
0.525263,17,9.387478
-1.376018,30,9.414197
1.73837,14,9.427284
2.002739,30,9.453865
-6.3759,24,9.475107
1.368423,30,9.502157
0.496212,12,9.513326
1.29069,27,9.540448
0.656385,16,9.555594
-0.83793,30,9.580501
-1.563163,21,9.599079
-0.1716,30,9.625001
-0.394294,15,9.638539
-2.018429,23,9.659647
1.067341,30,9.686532
1.428045,30,9.712885
0.495854,24,9.733492
-4.534354,25,9.755634
-5.003762,30,9.783516
-3.066074,25,9.806926
1.977925,20,9.837048
2.260976,29,9.876013
-3.6337,15,9.892897
-1.01192,20,9.913162
3.014965,20,9.93169
-4.002379,30,9.958108
-2.92404,28,9.983468
-6.258187,25,10.007673
-1.075221,30,10.034279
0.47202,17,10.048392
3.505966,23,10.069433
1.947602,20,10.087736
-4.973288,26,10.110616
-1.062555,13,10.122317
-0.938124,30,10.14899
1.653588,22,10.170878
1.751261,21,10.194212
-3.139701,27,10.225071
0.874861,30,10.260459
1.41093,24,10.287164
2.347589,26,10.316548
-0.422949,30,10.348544
2.014244,30,10.380227
-2.121767,30,10.409627
1.671117,18,10.426605
-0.930725,30,10.451436
0.974947,26,10.475465
1.205097,30,10.501968
-3.555349,19,10.518684
-3.333596,30,10.542297
-0.633416,22,10.56045
-0.908419,16,10.576007
-0.906504,29,10.601196
-0.744073,28,10.626544
-3.267521,30,10.653594
-6.234135,23,10.673848
1.080296,16,10.688315
-4.253653,28,10.7132
0.780865,28,10.741104
-3.892251,24,10.762686
-2.884332,20,10.782971
-0.492605,14,10.795372
-0.810925,17,10.81478
-0.318391,30,10.841733
-3.353294,28,10.866039
-3.412711,30,10.889606
-4.749762,30,10.912306
0.377917,30,10.935543
2.007089,20,10.951164
0.84143,23,10.969223
0.792496,30,10.99472
2.669537,30,11.020721
-2.891169,30,11.047232
-4.132837,22,11.066635
-5.734044,30,11.094909
-2.40592,19,11.111938
-3.796612,27,11.135499
-6.48199,30,11.160145
-2.855947,20,11.177726
-1.685347,24,11.198823
-0.79723,18,11.21548
-1.667452,27,11.238208
1.391848,27,11.262403
-1.17541,25,11.284506
-2.379865,24,11.305702
1.071234,30,11.331611
-4.834517,18,11.348951
-0.628645,30,11.377736
-0.291959,27,11.401642
-3.624247,26,11.424339
-2.898744,30,11.450847
-3.689245,25,11.472572
-4.523912,30,11.499129
-1.644704,30,11.524391
-8.35483,27,11.548598
-0.182418,16,11.56291
-0.071446,30,11.588105
-4.259526,14,11.600365
1.034929,26,11.62337
-2.077773,26,11.646935
1.32703,30,11.671419
-0.324393,23,11.689926
0.422029,30,11.713547
2.848346,19,11.729515
-8.930946,23,11.747093
0.165557,16,11.75958
-2.940731,22,11.782072
-4.052279,30,11.810034
-2.315521,12,11.821655
-0.953401,20,11.839677
-2.997125,30,11.867249
2.903612,30,12.033881
-7.236743,24,12.072181
2.644416,15,12.095634
0.266283,10,12.114123
-0.773473,21,12.148078
-4.100115,30,12.195394
-1.359803,14,12.21679
0.795567,15,12.242459
-5.759894,22,12.276533
0.228836,24,12.314618
-0.582133,17,12.344413
0.404707,17,12.373169
0.051088,30,12.420092
1.025701,30,12.468005
2.767034,27,12.510716
-0.000546,18,12.539317
1.835043,30,12.587672
-5.98116,26,12.627902
-0.438269,25,12.665498
-0.02124,30,12.71691
-3.948427,30,12.765579
-0.811673,30,12.81464
-7.247211,22,12.847309
2.635125,16,12.874385
-5.273443,26,12.916814
-1.717851,30,12.962335
0.019653,30,13.010427
-3.367505,23,13.052331
-2.883374,14,13.073681
1.846556,11,13.092738
-4.88367,26,13.135804
-3.494426,28,13.187542
-2.963648,30,13.236168
0.851661,18,13.26504
-6.129228,30,13.31433
-2.000468,20,13.349843
-6.399355,30,13.394689
-1.915678,26,13.439466
2.913547,27,13.47998
2.26576,29,13.527668
0.827239,23,13.56426
1.719925,16,13.589461
-0.472737,27,13.627578
-2.56267,17,13.658763
1.4263,27,13.699654
1.103605,19,13.730051
-1.309912,14,13.752421
-1.448421,30,13.797415
1.744629,26,13.841285
-3.265111,30,13.885048
-2.694839,21,13.916568
1.007813,30,13.964672
-0.04857,23,14.000028
0.929118,29,14.043755
0.678437,19,14.072948
-0.879098,30,14.119096
4.258039,24,14.155538
0.641718,19,14.186107
-0.567051,22,14.217663
-0.543356,17,14.248142
0.333678,14,14.268642
-4.036715,30,14.31574
-2.736288,18,14.344217
-1.876373,24,14.384005
-0.585969,16,14.40817
-0.024901,30,14.454496
2.028972,30,14.500685
-0.005246,30,14.549515
-1.296682,23,14.583453
-3.031052,28,14.626371
-0.462862,30,14.673984
-1.226295,30,14.720095
0.228487,30,14.769032
0.603016,30,14.814194
-6.009079,30,14.862077
1.974515,30,14.908347
0.274979,10,14.925157
1.8969,30,14.96985
-0.338328,16,14.994677
2.766125,30,15.043412
-2.953535,12,15.063506
0.047498,28,15.107796
2.058854,30,15.152126
-4.479922,30,15.20118
1.057755,25,15.238923
-2.335452,23,15.276179
0.576541,30,15.322461
-6.840722,26,15.36627
-5.164863,27,15.408271
-0.452751,30,15.451058
-0.541569,19,15.481042
-5.790651,30,15.527703
1.236048,26,15.568818
-2.376495,24,15.603887
3.288609,28,15.647114
-1.236292,21,15.681548
-6.406288,30,15.727755
2.228534,19,15.753812
-8.628375,30,15.797961
-4.40886,20,15.830372
-3.647025,30,15.874846
-2.448156,30,15.919576
-3.088354,30,15.961795
1.944689,22,15.9969
0.987504,30,16.039141
-5.109939,30,16.09357
-2.069897,15,16.121103
-5.126289,29,16.175925
-1.761099,25,16.218005
-1.827736,19,16.252622
-6.260835,20,16.287018
-0.594368,30,16.337987
0.358418,17,16.369195
-4.066019,23,16.40227
-9.980263,30,16.451559
0.885316,22,16.487572
-6.722007,24,16.525578
-1.081211,30,16.572854
-3.17809,19,16.602139
-4.213035,30,16.649104
-0.869963,30,16.697709
-3.711023,30,16.742386
-0.935921,30,16.794652
-2.03718,30,16.842076
-0.324021,8,16.855943
1.821373,14,16.87926
2.905325,27,16.920082
-1.978969,15,16.945821
2.287325,20,16.977309
-3.456137,16,17.002239
1.505966,13,17.023117
0.379683,30,17.074326
-2.898292,26,17.118612
-1.067921,30,17.169573
0.525949,13,17.189543
-0.460478,17,17.218071
0.251926,14,17.241548
1.396215,18,17.27068
-2.320757,20,17.302694
0.419851,25,17.345768
2.035266,17,17.371576
-3.090712,29,17.416406
0.856852,28,17.458961
-9.596869,30,17.508541
2.762318,21,17.541261
-7.255068,30,17.586705
2.452723,27,17.629538
-5.472626,28,17.674547
0.440737,26,17.717663
0.594602,18,17.753795
-3.347034,26,17.818475
-1.529971,30,17.902275
-2.650961,12,17.937931
3.860047,22,17.99605
-0.883169,17,18.036072
-1.83075,25,18.098144
-0.974745,30,18.165473
-1.328459,26,18.209536
-2.9356,16,18.234982
-2.557926,30,18.284232
-2.553573,17,18.312736
1.840594,30,18.357279
-2.025327,30,18.403618
1.338329,30,18.452636
-4.93689,20,18.48544
2.484347,13,18.508615
2.644114,20,18.541772
3.164195,26,18.584098
0.762894,9,18.59777
0.766459,16,18.623796
3.172452,21,18.659017
-3.943937,30,18.707203
-5.075357,29,18.760911
2.541281,30,18.833249
0.290298,18,18.875437
-3.639233,30,18.948116
0.362312,18,18.995952
0.596799,10,19.031907
-6.292285,30,19.101583
-0.32401,19,19.150411
2.663637,27,19.200118
-2.435147,23,19.238013
-1.524035,29,19.281438
-3.431132,30,19.333259
-9.878799,30,19.383133
-1.657424,24,19.420735
0.934963,17,19.446168
-2.220642,17,19.475866
-1.751287,30,19.525061
-3.995903,24,19.563492
0.525692,30,19.61071
-2.509309,22,19.664073
-3.617921,23,19.708452
2.14181,19,19.739558
-8.831344,14,19.763695
-2.088204,30,19.811143
2.16206,30,19.86046
-1.521384,26,19.89874
2.081293,30,19.946209
-4.813024,30,19.995321
-5.064285,20,20.027998
0.048271,24,20.065585
-0.781889,22,20.1009
2.360206,28,20.148252
-3.197137,25,20.188894
1.179762,25,20.228638
-6.300361,30,20.285105
-0.667917,12,20.310472
-3.954597,19,20.346587
