episode,reward,length
1,-1.481813,16
2,-1.675984,27
3,-2.857738,22
4,-4.624269,22
5,3.145044,30
6,2.766791,21
7,-6.606795,26
8,-3.487791,30
9,-0.210659,16
10,-5.7186,27
11,-4.131254,18
12,-2.737991,19
13,-5.734368,18
14,0.401538,30
15,-2.121409,30
16,-4.027535,12
17,-6.271109,30
18,-8.535867,29
19,-1.21713,30
20,-0.855916,15
21,-2.676234,25
22,1.554334,30
23,2.606681,14
24,-6.145051,30
25,1.972945,16
26,-0.695592,22
27,1.085932,29
28,-4.512382,29
29,-2.404189,28
30,-4.211065,23
31,1.935853,19
32,-3.746941,19
33,1.561193,19
34,-2.532757,13
35,-0.767435,19
36,-0.399188,20
37,1.054614,30
38,-0.193171,17
39,-4.675497,30
40,1.064482,25
41,-1.02176,16
42,-0.958831,30
43,0.089774,15
44,1.888596,18
45,1.770788,19
46,2.693661,30
47,3.755249,18
48,2.078009,30
49,-2.48135,22
50,-0.509582,30
51,-4.759269,21
52,-3.101085,30
53,-1.474747,30
54,0.432363,30
55,0.114467,21
56,1.195158,27
57,0.020975,30
58,-10.721302,30
59,-0.908563,22
60,-2.269497,30
61,-5.667763,30
62,-0.580831,27
63,1.685186,12
64,0.031966,30
65,-1.994733,21
66,1.485603,21
67,-4.747105,24
68,-0.17282,16
69,2.510658,15
70,0.124074,30
71,2.09684,30
72,1.561525,22
73,0.13008,19
74,2.824149,27
75,0.429921,12
76,-0.582468,11
77,2.024035,30
78,-1.255579,22
79,-2.879872,16
80,-10.281411,26
81,-2.930122,30
82,-3.910135,16
83,0.846408,28
84,-3.412198,17
85,0.949967,21
86,-1.710189,17
87,-3.10924,26
88,-3.046487,21
89,-0.262312,26
90,0.233939,28
91,-4.966596,28
92,-4.553708,18
93,-10.635935,25
94,-0.641476,22
95,0.295145,21
96,-0.201003,29
97,-2.101757,30
98,-4.733338,30
99,0.075991,28
100,-3.650477,24
101,-0.582827,22
102,-4.084459,19
103,-3.288345,28
104,0.96852,15
105,-3.053437,19
106,0.858142,10
107,-0.152435,30
108,-0.903512,16
109,-0.582723,21
110,1.067071,30
111,-5.745098,28
112,0.469514,30
113,0.704571,30
114,1.98891,30
115,1.336841,30
116,3.324109,30
117,-1.909871,14
118,-6.663041,29
119,-1.402628,30
120,-3.761428,26
121,2.384707,25
122,1.238289,30
123,-3.889292,26
124,-4.543565,17
125,1.508503,30
126,1.858386,30
127,-3.1524,24
128,1.755635,14
129,1.628231,13
130,0.639179,25
131,2.176127,30
132,-6.103707,21
133,-11.868365,30
134,0.706169,15
135,1.780882,30
136,1.25484,30
137,-2.267122,30
138,2.606995,30
139,1.265405,21
140,-1.244773,30
141,-3.001205,30
142,1.066446,17
143,-2.873892,23
144,1.01899,30
145,2.840553,26
146,-1.129721,24
147,-6.542415,18
148,-4.444993,26
149,-2.237424,20
150,-3.214825,18
151,-1.69692,25
152,-4.461711,30
153,-2.512932,22
154,-5.574556,27
155,-3.424764,26
156,-0.1404,29
157,-3.759605,23
158,2.284587,30
159,-1.729409,24
160,2.167316,24
161,-11.33253,30
162,-2.291928,30
163,0.649599,26
164,-2.122272,25
165,-2.935687,29
166,-1.352243,26
167,1.078056,30
168,-2.3858,30
169,-1.951057,30
170,2.187209,23
171,0.752459,30
172,1.229798,20
173,-1.871686,28
174,-2.287272,30
175,2.263729,28
176,0.183603,23
177,-0.343436,23
178,-8.012175,30
179,-0.1423,16
180,0.373128,23
181,-0.709871,14
182,-0.52699,16
183,1.556476,30
184,-1.82001,17
185,-5.779379,18
186,-0.718306,30
187,2.021278,23
188,-3.245583,30
189,-0.015535,21
190,-1.786552,29
191,-1.532277,17
192,-0.065021,30
193,-4.142206,29
194,-2.477873,30
195,-0.486555,10
196,1.025913,30
197,-6.402496,30
198,-9.638807,30
199,-1.189569,13
200,-6.329715,19
201,0.718627,14
202,0.922113,30
203,-0.378876,10
204,3.574602,23
205,-6.363406,15
206,0.282944,30
207,-0.880528,30
208,2.672936,30
209,0.885958,14
210,-1.356781,24
211,2.649667,16
212,0.417919,23
213,-11.741866,30
214,4.017285,29
215,0.357121,24
